#n 	 E_n 	 <H> 	 <H_dir> 	 <H_exc> 	 <H_0> 	 E_B (eV)
26  0.071773134713  0.071773134713  0.002371567537  -0.000000198851   0.074144503399  -0.064528261860
27  0.071773134717  0.071773134717  0.002371567535  -0.000000198852   0.074144503400  -0.064528261781
28  0.072060419383  0.072060419383  0.003778838716  -0.000005156472   0.075834101627  -0.102687177016
29  0.072060419470  0.072060419470  0.003778838605  -0.000005156480   0.075834101594  -0.102687173768
30  0.072060419516  0.072060419516  0.003778838555  -0.000005156482   0.075834101589  -0.102687172370
31  0.072118280786  0.072118280786  0.003762689443  -0.000040938813   0.075840031416  -0.101274045111
32  0.072118280852  0.072118280852  0.003762689357  -0.000040938806   0.075840031403  -0.101274042931
33  0.072196710842  0.072196710842  0.003770973066  -0.000151826161   0.075815857747  -0.098482054098
34  0.072284394664  0.072284394664  0.003733228978  -0.000209274100   0.075808349542  -0.095891745769
35  0.072284394708  0.072284394708  0.003733228937  -0.000209274117   0.075808349528  -0.095891744191
36  0.072284394731  0.072284394731  0.003733228889  -0.000209274112   0.075808349509  -0.095891743029
37  0.072323210157  0.072323210157  0.003742696779  -0.000190507990   0.075875398945  -0.096660030010
38  0.072323210183  0.072323210183  0.003742696757  -0.000190508012   0.075875398927  -0.096660028806
39  0.072323210200  0.072323210200  0.003742696748  -0.000190507983   0.075875398965  -0.096660029361
40  0.072371710148  0.072371710148  0.003664675979  -0.000000013540   0.076036372587  -0.099720595500
41  0.072495138771  0.072495138771  0.003604440946  -0.000156664623   0.075942915093  -0.093818820623
42  0.072495138800  0.072495138800  0.003604440861  -0.000156664588   0.075942915073  -0.093818819274
43  0.072495138828  0.072495138828  0.003604440803  -0.000156664573   0.075942915059  -0.093818818127
44  0.073123540908  0.073123540908  0.002744943563  -0.000000388577   0.075868095894  -0.074683183553
45  0.073123540917  0.073123540917  0.002744943553  -0.000000388577   0.075868095893  -0.074683183272
46  0.073134104023  0.073134104023  0.002741301882  -0.000021013663   0.075854392241  -0.074022850826
47  0.073134104029  0.073134104029  0.002741301875  -0.000021013661   0.075854392243  -0.074022850723
48  0.073134104033  0.073134104033  0.002741301871  -0.000021013661   0.075854392243  -0.074022850596
49  0.073156939561  0.073156939561  0.002749115324  -0.000038142826   0.075867912060  -0.073769357044
50  0.073156939576  0.073156939576  0.002749115320  -0.000038142829   0.075867912067  -0.073769356842
51  0.073156939588  0.073156939588  0.002749115304  -0.000038142827   0.075867912065  -0.073769356466
52  0.073173504346  0.073173504346  0.002790943381  -0.000000000278   0.075964447449  -0.075945469140
53  0.073328941712  0.073328941712  0.002818297239  -0.000174198854   0.075973040096  -0.071949618768
54  0.073328941721  0.073328941721  0.002818297229  -0.000174198859   0.075973040091  -0.071949618401
55  0.073328941739  0.073328941739  0.002818297190  -0.000174198835   0.075973040095  -0.071949618003
56  0.073347305416  0.073347305416  0.002366690100  -0.000004412177   0.075709583340  -0.064280889494
57  0.073347305432  0.073347305432  0.002366690080  -0.000004412178   0.075709583334  -0.064280888919
58  0.073347305445  0.073347305445  0.002366690057  -0.000004412178   0.075709583324  -0.064280888288
59  0.073364116042  0.073364116042  0.002358041875  -0.000005465665   0.075716692252  -0.064016892282
60  0.073371041353  0.073371041353  0.002374799517  -0.000000874881   0.075744965989  -0.064597812835
61  0.073371041366  0.073371041366  0.002374799500  -0.000000874880   0.075744965986  -0.064597812387
62  0.073387548723  0.073387548723  0.002401408429  -0.000004019132   0.075784938019  -0.065236319107
63  0.073387548730  0.073387548730  0.002401408474  -0.000004019128   0.075784938076  -0.065236320434
64  0.073387548738  0.073387548738  0.002401408465  -0.000004019123   0.075784938080  -0.065236320359
65  0.073395772106  0.073395772106  0.002426159415  -0.000013622108   0.075808309413  -0.065648517665
66  0.073395772114  0.073395772114  0.002426159389  -0.000013622134   0.075808309369  -0.065648516268
67  0.073395772122  0.073395772122  0.002426159365  -0.000013622133   0.075808309354  -0.065648515631
