i  a   sqrt(mu2)     Ea-Ei 	  f_osc       mu_x.re     mu_x.im     mu_y.re     mu_y.im     mu_z.re     mu_z.im
1  101  0.01325813 0.083212584348  0.00000975 -0.00469761 -0.00549703  0.00822286 -0.00504559 -0.00475067 -0.00475067
1  102  0.06503251 0.083780808327  0.00023622 -0.03482312 -0.01226668 -0.03598597 -0.00224185 -0.00965210 -0.00965210
1  103  0.03667492 0.083780808327  0.00007513 -0.00120938  0.00378320  0.02625839  0.02023489 -0.01244010 -0.01244010
1  104  0.00005332 0.084919431042  0.00000000 -0.00001423  0.00001708 -0.00004423  0.00001610  0.00001094  0.00001094
1  105  0.00007485 0.084919431042  0.00000000  0.00000212 -0.00006203 -0.00002109 -0.00003405 -0.00000102 -0.00000102
1  106  0.00019742 0.085477155710  0.00000000 -0.00007664 -0.00008010  0.00015705  0.00001662 -0.00001701 -0.00001701
1  107  0.00029148 0.085477155710  0.00000000 -0.00021237 -0.00007572 -0.00012633 -0.00006302  0.00010869  0.00010869
1  108  0.00018083 0.085503175329  0.00000000  0.00005586 -0.00009957  0.00004185 -0.00008859 -0.00004299 -0.00004299
1  109  0.00015604 0.085503175329  0.00000000 -0.00009177  0.00005034 -0.00006572  0.00003567  0.00007795  0.00007795
1  110  0.00034071 0.085575615097  0.00000001  0.00021107  0.00006130  0.00019839  0.00006319 -0.00015066 -0.00015066
1  111  0.00024857 0.085575615097  0.00000000  0.00015673 -0.00012985 -0.00001563  0.00012855 -0.00005980 -0.00005980
1  112  0.00023215 0.085625814905  0.00000000  0.00018903 -0.00006765 -0.00009726  0.00002046 -0.00005262 -0.00005262
1  113  0.00032663 0.085625814905  0.00000001 -0.00010615  0.00015163 -0.00003628  0.00020419  0.00006689  0.00006689
1  114  0.00005097 0.086919857499  0.00000000  0.00001505  0.00003105 -0.00002357 -0.00002864 -0.00000404 -0.00000404
1  115  0.00003160 0.086919857499  0.00000000 -0.00000777 -0.00001842 -0.00001121 -0.00001725 -0.00000105 -0.00000105
1  116  0.02336719 0.087188731071  0.00003174  0.00212829  0.00270836  0.00022178  0.00027821  0.02067212  0.02067212
1  117  0.02519972 0.087188731071  0.00003691 -0.00064149 -0.00892292 -0.00236474 -0.00724346 -0.02169914 -0.02169914
1  118  0.03085341 0.087367521806  0.00005545  0.00955824  0.00628122 -0.00209909 -0.02137280 -0.01870468 -0.01870468
1  119  0.04492180 0.087367521806  0.00011754 -0.02196499  0.00596919  0.01169246 -0.00328692  0.00142023  0.00142023
1  120  0.01182673 0.087402522962  0.00000815 -0.00816246  0.00231454 -0.00485796 -0.00012815 -0.00645224 -0.00645224
1  121  0.03546221 0.087402522962  0.00007328 -0.00157170  0.01296033 -0.00165804  0.01172682 -0.02989939 -0.02989939
1  122  0.19924383 0.087904988016  0.00232644  0.00250824  0.08506818 -0.02959912  0.16352129  0.06842907  0.06842907
1  123  0.13139516 0.087904988016  0.00101177  0.06685165  0.09280087  0.01563393  0.04367856 -0.03845498 -0.03845498
1  124  0.33542884 0.087921197220  0.00659482 -0.17419490 -0.11178841  0.12475818 -0.14098903  0.18385410  0.18385410
1  125  0.36795292 0.087921197220  0.00793573  0.11830392  0.01024458 -0.00304584 -0.17233225  0.27716107  0.27716107
1  126  0.28068351 0.088028897986  0.00462347  0.05201293  0.10059336  0.10821708  0.22491999  0.01587455  0.01587455
1  127  0.25080538 0.088028897986  0.00369154  0.13774234  0.10612199  0.11276178 -0.00879278  0.11541928  0.11541928
1  128  0.40652620 0.088043944778  0.00970030  0.01213722 -0.09923016  0.15850844  0.10282986 -0.02824353 -0.02824353
1  129  0.34087959 0.088043944778  0.00682041 -0.01930273  0.20978121  0.03373678 -0.21095797  0.02434226  0.02434226
1  130  0.05106907 0.088746493126  0.00015430 -0.00749614 -0.01343518 -0.00417839 -0.00274061  0.04352950  0.04352950
1  131  0.07015260 0.088746493126  0.00029117  0.01086995  0.00313677  0.00155883 -0.00161415 -0.00227115 -0.00227115
1  132  0.06436747 0.088823994516  0.00024534  0.03168791  0.04548231 -0.03136386 -0.00406294  0.00622108  0.00622108
1  133  0.10471716 0.088823994516  0.00064934  0.03980221 -0.02112194  0.05213425 -0.02585922  0.03670059  0.03670059
1  134  0.00015526 0.089576474309  0.00000000  0.00002975  0.00011402  0.00002965  0.00009655 -0.00000179 -0.00000179
1  135  0.00006249 0.089576474309  0.00000000 -0.00004052  0.00001633 -0.00004295  0.00001132  0.00000136  0.00000136
1  136  0.00027219 0.089694037240  0.00000000 -0.00017619 -0.00002998 -0.00005715 -0.00018152  0.00006960  0.00006960
1  137  0.00018273 0.089694037241  0.00000000 -0.00002703  0.00014448  0.00009969  0.00002314 -0.00003318 -0.00003318
1  138  0.00016253 0.089799031777  0.00000000 -0.00009064  0.00004747  0.00003625 -0.00011972  0.00001730  0.00001730
1  139  0.00017576 0.089799031777  0.00000000 -0.00012216 -0.00004183 -0.00009649 -0.00001098  0.00005173  0.00005173
1  140  0.00008675 0.089901994641  0.00000000  0.00005902 -0.00003132 -0.00005215  0.00001679 -0.00000124 -0.00000124
1  141  0.00008697 0.089901994642  0.00000000 -0.00006504  0.00000540 -0.00003841 -0.00004249 -0.00000491 -0.00000491
1  142  0.00014278 0.089948791556  0.00000000 -0.00001242  0.00009399  0.00004037  0.00008270 -0.00003376 -0.00003376
1  143  0.00025428 0.089948791558  0.00000000  0.00020292  0.00000569  0.00013972  0.00004854  0.00002021  0.00002021
1  144  0.07739641 0.090041569183  0.00035958  0.05423816 -0.00886719  0.05238020  0.01475006  0.00124360  0.00124360
1  145  0.04601607 0.090041569185  0.00012711  0.00005968  0.00613342  0.03081891  0.03065163  0.00909774  0.00909774
